File Name	Loss
Sample_4586	125.587646
Sample_15614	40.906872
Sample_11696	38.348660
Sample_7325	37.624435
Sample_9091	28.569172
Sample_5762	27.308661
Sample_11302	24.949881
Sample_15028	24.932585
Sample_3944	20.943144
Sample_3850	19.363094
Sample_11002	19.089880
Sample_15165	17.695711
Sample_6778	17.291206
Sample_2131	17.098877
Sample_2874	16.484312
Sample_1595	16.451147
Sample_11242	16.229675
Sample_3760	16.104225
Sample_12655	15.831641
Sample_1531	15.340125
Sample_10735	15.234636
Sample_5027	14.819332
Sample_11695	14.304725
Sample_3869	13.380066
Sample_3188	12.569053
Sample_4609	12.268434
Sample_5127	12.250805
Sample_14814	12.239310
Sample_2144	12.099088
Sample_16330	12.041602
Sample_6236	11.969733
Sample_5932	11.874331
Sample_13720	11.484923
Sample_6068	11.436318
Sample_8410	11.089622
Sample_5709	10.974770
Sample_11561	10.613247
Sample_11613	10.531314
Sample_1179	10.448372
Sample_14248	10.427913
Sample_10717	10.355479
Sample_8024	10.330367
Sample_14125	10.229561
Sample_8423	9.940157
Sample_8315	9.741841
Sample_12243	9.732650
Sample_5284	9.543181
Sample_3991	9.526949
Sample_10754	9.417788
Sample_15806	9.189921
Sample_1633	9.177893
Sample_877	9.176469
Sample_7854	9.141967
Sample_213	8.951383
Sample_8456	8.941508
Sample_2317	8.855260
Sample_10840	8.851313
Sample_8704	8.675194
Sample_12827	8.655184
Sample_5983	8.630263
Sample_15788	8.477065
Sample_598	8.305619
Sample_16069	8.228363
Sample_2001	8.184032
Sample_11482	8.106811
Sample_7879	8.100252
Sample_3636	8.075501
Sample_10815	7.981972
Sample_5348	7.962959
Sample_13288	7.852303
Sample_7741	7.832004
Sample_9987	7.775284
Sample_9584	7.752501
Sample_7869	7.714294
Sample_11653	7.697723
Sample_3639	7.626682
Sample_13754	7.563270
Sample_4684	7.459907
Sample_868	7.421842
Sample_7271	7.417606
Sample_7814	7.334728
Sample_4952	7.224234
Sample_12423	7.221513
Sample_1923	7.158357
Sample_508	7.062424
Sample_12006	7.030660
Sample_9406	6.976529
Sample_2149	6.961428
Sample_1044	6.933582
Sample_14977	6.749730
Sample_15508	6.721824
Sample_8	6.713715
Sample_10219	6.661746
Sample_15205	6.598867
Sample_15180	6.583219
Sample_14289	6.576326
Sample_16122	6.486068
Sample_15427	6.480871
Sample_10961	6.424966
Sample_10874	6.419253
Sample_210	6.319950
Sample_9223	6.234255
Sample_9227	6.203239
Sample_3299	6.108374
Sample_14940	6.092751
Sample_1391	6.052654
Sample_3167	6.048256
Sample_11455	6.030316
Sample_13148	5.888473
Sample_9925	5.848884
Sample_14188	5.729125
Sample_1066	5.665687
Sample_6199	5.635339
Sample_4128	5.626203
Sample_8669	5.623224
Sample_13572	5.616756
Sample_1429	5.604804
Sample_10602	5.602555
Sample_7896	5.591428
Sample_15886	5.552720
Sample_7174	5.524898
Sample_16130	5.517499
Sample_5099	5.509245
Sample_12128	5.498548
Sample_4861	5.489593
Sample_2034	5.487041
Sample_1020	5.444554
Sample_12627	5.394380
Sample_1507	5.368852
Sample_14507	5.328274
Sample_6768	5.319936
Sample_2669	5.302593
Sample_1514	5.297194
Sample_1104	5.283152
Sample_9610	5.197281
Sample_5446	5.173470
Sample_1955	5.154771
Sample_8734	5.117319
Sample_13897	5.116025
Sample_10748	5.115682
Sample_3849	5.109251
Sample_12280	5.091894
Sample_2854	5.083612
Sample_12953	5.064559
Sample_146	5.056493
Sample_7209	5.010398
Sample_4771	5.009174
Sample_892	4.973896
Sample_8422	4.972954
Sample_10362	4.964090
Sample_6231	4.952485
Sample_13542	4.945161
Sample_12392	4.900776
Sample_644	4.888526
Sample_9706	4.845079
Sample_5952	4.844857
Sample_11429	4.840003
Sample_15700	4.836776
Sample_8972	4.830614
Sample_7884	4.820521
Sample_1202	4.794664
Sample_2720	4.793870
Sample_14520	4.788620
Sample_4798	4.751292
Sample_13908	4.737670
Sample_3899	4.716288
Sample_5569	4.688742
Sample_4146	4.665892
Sample_14247	4.618761
Sample_15769	4.617368
Sample_15423	4.588518
Sample_14214	4.583417
Sample_7564	4.581885
Sample_10811	4.581205
Sample_4431	4.560121
Sample_925	4.524044
Sample_14230	4.519231
Sample_6190	4.514163
Sample_4356	4.467864
Sample_3653	4.440713
Sample_14467	4.397207
Sample_6273	4.388597
Sample_6401	4.367523
Sample_4511	4.367392
Sample_9572	4.334202
Sample_98	4.330064
Sample_13465	4.316316
Sample_13646	4.302749
Sample_5022	4.246306
Sample_5482	4.215317
Sample_6944	4.206375
Sample_9734	4.201104
Sample_9965	4.178182
Sample_3336	4.144021
Sample_2438	4.138790
Sample_13178	4.126224
Sample_4596	4.066367
Sample_3682	4.050119
Sample_6646	4.018557
Sample_306	4.008811
Sample_13611	3.967778
Sample_10638	3.952099
Sample_11618	3.938995
Sample_10260	3.924637
Sample_6810	3.922352
Sample_9267	3.864294
Sample_3915	3.852097
Sample_1262	3.851941
Sample_4236	3.838323
Sample_4442	3.827879
Sample_15773	3.803089
Sample_11777	3.802976
Sample_2584	3.780006
Sample_15756	3.749431
Sample_14103	3.739381
Sample_9350	3.716539
Sample_6334	3.715256
Sample_13963	3.709504
Sample_12593	3.706640
Sample_6924	3.693528
Sample_13784	3.684514
Sample_6656	3.679456
Sample_5695	3.676790
Sample_5977	3.669821
Sample_12445	3.656848
Sample_12629	3.656842
Sample_10468	3.654845
Sample_8132	3.632643
Sample_12337	3.620122
Sample_7605	3.618084
Sample_13930	3.601280
Sample_9688	3.586923
Sample_9841	3.582670
Sample_10166	3.532450
Sample_6662	3.531649
Sample_10946	3.494231
Sample_660	3.483382
Sample_1274	3.482752
Sample_5805	3.468350
Sample_11966	3.460569
Sample_6909	3.453330
Sample_15017	3.451553
Sample_5297	3.449472
Sample_10140	3.448618
Sample_7074	3.440104
Sample_3778	3.439570
Sample_6433	3.431696
Sample_15413	3.416760
Sample_8019	3.412520
Sample_13327	3.408765
Sample_9242	3.408523
Sample_13937	3.390815
Sample_10572	3.389814
Sample_11528	3.389695
Sample_14911	3.388083
Sample_3192	3.374824
Sample_12645	3.339447
Sample_130	3.323920
Sample_8769	3.313997
Sample_242	3.303277
Sample_9963	3.268012
Sample_1609	3.258447
Sample_12789	3.241912
Sample_3739	3.226662
Sample_7848	3.225297
Sample_3296	3.217884
Sample_12125	3.212976
Sample_5497	3.190592
Sample_4726	3.185702
Sample_1855	3.169893
Sample_1543	3.169155
Sample_7389	3.169143
Sample_10606	3.158079
Sample_13697	3.155371
Sample_15543	3.142331
Sample_2675	3.124525
Sample_963	3.117549
Sample_1135	3.114439
Sample_12703	3.096272
Sample_4916	3.087934
Sample_14300	3.069997
Sample_7286	3.058012
Sample_4063	3.057436
Sample_12904	3.044363
Sample_15711	3.034976
Sample_3316	3.029327
Sample_16350	3.026531
Sample_9869	3.024907
Sample_11533	3.024616
Sample_2540	3.024281
Sample_2610	3.019864
Sample_3825	3.016619
Sample_8104	3.006926
Sample_13883	2.996793
Sample_12166	2.992376
Sample_14211	2.989131
Sample_476	2.986976
Sample_2658	2.979533
Sample_10569	2.966395
Sample_12435	2.963483
Sample_12774	2.957627
Sample_383	2.950595
Sample_4237	2.929159
Sample_7638	2.928242
Sample_1750	2.918166
Sample_5343	2.914538
