File Name	Loss
Sample_16082	45.130825
Sample_10561	36.762836
Sample_1740	34.837521
Sample_11388	28.423294
Sample_15888	25.609119
Sample_11009	25.154575
Sample_15003	21.891766
Sample_1085	19.363417
Sample_4607	18.940186
Sample_3379	18.811766
Sample_2677	17.261240
Sample_8787	16.054268
Sample_10663	15.561889
Sample_820	15.382446
Sample_7465	14.841034
Sample_6802	12.908755
Sample_12214	12.896866
Sample_14361	12.728071
Sample_4719	12.477168
Sample_2687	12.395210
Sample_9112	12.372822
Sample_356	11.337959
Sample_11280	11.305762
Sample_12325	11.132409
Sample_5230	10.829098
Sample_9757	10.720607
Sample_1984	10.687272
Sample_5226	10.632355
Sample_12344	10.578841
Sample_8375	10.525345
Sample_878	10.490494
Sample_9845	10.385910
Sample_8065	10.325465
Sample_10926	10.272246
Sample_3053	10.009518
Sample_15333	9.972459
Sample_10006	9.963423
Sample_5505	9.812782
Sample_6813	9.785265
Sample_5697	9.752663
Sample_1971	9.596572
Sample_14328	9.590243
Sample_1850	9.490133
Sample_2074	9.487081
Sample_370	9.233270
Sample_7311	8.927665
Sample_7629	8.871041
Sample_5522	8.809313
Sample_1263	8.795376
Sample_10084	8.743596
Sample_3153	8.663052
Sample_7734	8.609920
Sample_6351	8.532123
Sample_13822	8.447315
Sample_675	8.364783
Sample_6775	8.355969
Sample_4925	8.251999
Sample_13225	8.205414
Sample_9488	8.174306
Sample_14336	8.172849
Sample_715	8.136137
Sample_3531	8.130649
Sample_2137	8.129985
Sample_10537	8.054644
Sample_447	8.031075
Sample_6489	7.999393
Sample_6104	7.807093
Sample_10037	7.779187
Sample_14400	7.731019
Sample_11842	7.677278
Sample_8053	7.604517
Sample_13889	7.554029
Sample_14775	7.319452
Sample_8780	7.293640
Sample_15237	7.244467
Sample_13021	7.238910
Sample_7200	7.222463
Sample_15171	7.217387
Sample_11980	7.195472
Sample_15115	7.171916
Sample_282	7.010679
Sample_5742	6.998191
Sample_5536	6.937169
Sample_12082	6.936930
Sample_888	6.900901
Sample_11287	6.847616
Sample_15804	6.660272
Sample_6566	6.598147
Sample_14783	6.517724
Sample_14824	6.505699
Sample_12858	6.498724
Sample_2613	6.498020
Sample_13121	6.465560
Sample_2992	6.456248
Sample_4250	6.391121
Sample_9078	6.353506
Sample_9255	6.340797
Sample_9299	6.314666
Sample_14754	6.177477
Sample_58	6.173027
Sample_16240	6.115230
Sample_9140	6.095007
Sample_10796	6.090574
Sample_14704	6.076216
Sample_11317	6.054990
Sample_15595	6.047584
Sample_6746	6.011126
Sample_2672	6.008319
Sample_7336	5.954706
Sample_5518	5.905138
Sample_4429	5.874481
Sample_2761	5.864566
Sample_5484	5.852548
Sample_12371	5.851384
Sample_3435	5.813307
Sample_4413	5.784513
Sample_969	5.703598
Sample_4906	5.685473
Sample_841	5.659630
Sample_7654	5.622170
Sample_1247	5.597268
Sample_13148	5.557931
Sample_8211	5.544698
Sample_14457	5.463324
Sample_13847	5.461984
Sample_1228	5.444436
Sample_5418	5.440112
Sample_14201	5.436710
Sample_7643	5.415509
Sample_4007	5.411206
Sample_4287	5.399107
Sample_7409	5.369359
Sample_9705	5.368109
Sample_4288	5.324546
Sample_4052	5.319865
Sample_10881	5.311621
Sample_4632	5.304948
Sample_15539	5.285571
Sample_8225	5.282054
Sample_5320	5.280055
Sample_7866	5.220229
Sample_14167	5.219182
Sample_2887	5.214432
Sample_7467	5.213511
Sample_15775	5.208999
Sample_5456	5.205199
Sample_13142	5.196798
Sample_10641	5.187482
Sample_2673	5.170571
Sample_7570	5.163816
Sample_15403	5.110129
Sample_12263	5.109370
Sample_8461	5.105992
Sample_15906	5.091968
Sample_11560	5.055965
Sample_7264	5.052130
Sample_13737	5.044081
Sample_5741	5.043644
Sample_4148	4.978909
Sample_5526	4.916488
Sample_9149	4.852772
Sample_773	4.845403
Sample_6836	4.839776
Sample_10375	4.828438
Sample_1001	4.781163
Sample_567	4.742219
Sample_7884	4.729495
Sample_5540	4.722634
Sample_2929	4.716641
Sample_6611	4.687472
Sample_14382	4.681299
Sample_5580	4.676283
Sample_4140	4.672836
Sample_12888	4.661071
Sample_4676	4.640868
Sample_15642	4.639627
Sample_9051	4.634078
Sample_12889	4.612212
Sample_7957	4.606750
Sample_7241	4.590014
Sample_3561	4.553680
Sample_14460	4.546341
Sample_10277	4.500042
Sample_10244	4.475460
Sample_3853	4.469061
Sample_10101	4.450964
Sample_6049	4.441185
Sample_15268	4.439266
Sample_13428	4.376454
Sample_11832	4.368548
Sample_6450	4.353236
Sample_11100	4.344440
Sample_16047	4.339659
Sample_12542	4.336488
Sample_8640	4.322482
Sample_2828	4.272874
Sample_1090	4.202880
Sample_4527	4.197937
Sample_9508	4.190831
Sample_6034	4.177994
Sample_12637	4.176071
Sample_1536	4.175647
Sample_12307	4.160006
Sample_4463	4.111656
Sample_12309	4.081701
Sample_9722	4.055741
Sample_12076	4.049338
Sample_5101	4.005872
Sample_10915	3.999164
Sample_3481	3.997605
Sample_470	3.973095
Sample_511	3.950030
Sample_12069	3.946409
Sample_2204	3.922574
Sample_13592	3.921785
Sample_2599	3.920877
Sample_13695	3.904346
Sample_3839	3.903309
Sample_3690	3.900848
Sample_12222	3.881063
Sample_9573	3.859288
Sample_8223	3.827726
Sample_3374	3.824566
Sample_9728	3.812536
Sample_5831	3.799181
Sample_7015	3.783144
Sample_11870	3.774539
Sample_7923	3.769900
Sample_15000	3.768131
Sample_3468	3.765065
Sample_9039	3.737698
Sample_13845	3.736892
Sample_7041	3.726197
Sample_14814	3.722923
Sample_15250	3.697029
Sample_8195	3.676406
Sample_1326	3.673808
Sample_10598	3.673781
Sample_653	3.625649
Sample_11637	3.618764
Sample_1843	3.600759
Sample_15800	3.591759
Sample_5241	3.561805
Sample_7530	3.552592
Sample_9438	3.534499
Sample_4531	3.494627
Sample_3011	3.493273
Sample_8547	3.489994
Sample_14452	3.483231
Sample_14228	3.476073
Sample_9504	3.438785
Sample_12441	3.430171
Sample_12883	3.422052
Sample_13475	3.404540
Sample_7398	3.389347
Sample_1295	3.388582
Sample_10794	3.376124
Sample_1602	3.369258
Sample_2539	3.367099
Sample_6367	3.359810
Sample_12096	3.358381
Sample_1259	3.354649
Sample_13271	3.353916
Sample_14208	3.341642
Sample_1985	3.313212
Sample_4597	3.309621
Sample_8306	3.306187
Sample_14272	3.297098
Sample_10913	3.277033
Sample_8667	3.276908
Sample_9873	3.269076
Sample_13333	3.262614
Sample_4891	3.259710
Sample_1213	3.258128
Sample_7788	3.250901
Sample_7686	3.242737
Sample_10488	3.241851
Sample_10481	3.224947
Sample_195	3.221979
Sample_10742	3.219646
Sample_8782	3.208803
Sample_14593	3.167420
Sample_9021	3.164440
Sample_13046	3.163258
Sample_10285	3.145557
Sample_2731	3.134165
Sample_2414	3.128007
Sample_12646	3.122967
Sample_9627	3.082428
Sample_2990	3.067354
Sample_947	3.067226
Sample_452	3.061050
Sample_2242	3.058382
Sample_12997	3.034052
Sample_11894	3.026690
Sample_5499	3.022150
Sample_1784	3.017618
Sample_12940	3.016673
Sample_7181	3.011519
Sample_8578	3.003434
Sample_2005	2.993216
Sample_4633	2.988830
Sample_2646	2.978879
Sample_4286	2.970905
Sample_4995	2.970503
Sample_11371	2.964467
Sample_10029	2.963353
Sample_4890	2.963040
Sample_8759	2.945796
Sample_12489	2.943963
Sample_10981	2.939984
Sample_15190	2.935202
Sample_2661	2.932602
Sample_8774	2.906123
Sample_4688	2.903282
Sample_15620	2.867651
Sample_10309	2.867409
Sample_4001	2.862939
Sample_7631	2.861794
Sample_1990	2.860120
Sample_10644	2.854242
Sample_13365	2.843897
Sample_10415	2.834671
Sample_13970	2.834161
Sample_9532	2.829497
