True
torch diagonostics
2.5.1
12.4
True
start to load light curves
loaded files
finished loading lcs
3
Beginning training...
Epoch 1 | Train Loss: 12.15 | Valid Loss: 12.48
Epoch 1001 | Train Loss: 4.16 | Valid Loss: 4.14
Epoch 2001 | Train Loss: 1.41 | Valid Loss: 1.33
Epoch 3001 | Train Loss: 1.31 | Valid Loss: 1.41
Epoch 4001 | Train Loss: 1.23 | Valid Loss: 1.36
Epoch 5001 | Train Loss: 1.19 | Valid Loss: 1.21
Epoch 6001 | Train Loss: 1.13 | Valid Loss: 1.13
Epoch 7001 | Train Loss: 1.05 | Valid Loss: 1.06
Epoch 8001 | Train Loss: 0.97 | Valid Loss: 0.84
Epoch 9001 | Train Loss: 0.72 | Valid Loss: 0.64
Epoch 10001 | Train Loss: 0.43 | Valid Loss: 0.47
Epoch 11001 | Train Loss: 0.47 | Valid Loss: 0.40
Epoch 12001 | Train Loss: 0.38 | Valid Loss: 0.36
Epoch 13001 | Train Loss: 0.35 | Valid Loss: 0.40
Epoch 14001 | Train Loss: 0.34 | Valid Loss: 0.37
Epoch 15001 | Train Loss: 0.43 | Valid Loss: 0.32
Epoch 16001 | Train Loss: 0.33 | Valid Loss: 0.31
Epoch 17001 | Train Loss: 0.29 | Valid Loss: 0.29
Epoch 18001 | Train Loss: 0.29 | Valid Loss: 0.28
Epoch 19001 | Train Loss: 0.30 | Valid Loss: 0.26
Epoch 20001 | Train Loss: 0.30 | Valid Loss: 0.25
Epoch 21001 | Train Loss: 0.24 | Valid Loss: 0.23
Epoch 22001 | Train Loss: 0.22 | Valid Loss: 0.22
Epoch 23001 | Train Loss: 0.20 | Valid Loss: 0.18
Epoch 24001 | Train Loss: 0.12 | Valid Loss: 0.13
Epoch 25001 | Train Loss: 0.10 | Valid Loss: 0.09
Epoch 26001 | Train Loss: 0.11 | Valid Loss: 0.08
Epoch 27001 | Train Loss: 0.08 | Valid Loss: 0.08
Epoch 28001 | Train Loss: 0.07 | Valid Loss: 0.07
Epoch 29001 | Train Loss: 0.10 | Valid Loss: 0.07
Saved Model at /home/pdong/Astro UROP/models/RNN_VAE_Err.h5
losses saved!
