True
torch diagonostics
2.5.1
12.4
True
start to load light curves
loaded files
finished loading lcs
3
Beginning training...
Epoch 1 | Train Loss: 20.51 | Valid Loss: 17.77
Epoch 1001 | Train Loss: 0.21 | Valid Loss: 0.19
Epoch 2001 | Train Loss: 0.21 | Valid Loss: 0.18
Epoch 3001 | Train Loss: 0.18 | Valid Loss: 0.17
Epoch 4001 | Train Loss: 0.17 | Valid Loss: 0.17
Epoch 5001 | Train Loss: 0.17 | Valid Loss: 0.17
Epoch 6001 | Train Loss: 0.16 | Valid Loss: 0.16
Epoch 7001 | Train Loss: 0.16 | Valid Loss: 0.16
Epoch 8001 | Train Loss: 0.16 | Valid Loss: 0.16
Epoch 9001 | Train Loss: 0.16 | Valid Loss: 0.16
Epoch 10001 | Train Loss: 0.15 | Valid Loss: 0.15
Epoch 11001 | Train Loss: 0.14 | Valid Loss: 0.14
Epoch 12001 | Train Loss: 0.12 | Valid Loss: 0.11
Epoch 13001 | Train Loss: 0.09 | Valid Loss: 0.09
Epoch 14001 | Train Loss: 0.09 | Valid Loss: 0.07
Epoch 15001 | Train Loss: 0.07 | Valid Loss: 0.07
Epoch 16001 | Train Loss: 0.09 | Valid Loss: 0.06
Epoch 17001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 18001 | Train Loss: 0.06 | Valid Loss: 0.05
Epoch 19001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 20001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 21001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 22001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 23001 | Train Loss: 0.06 | Valid Loss: 0.05
Epoch 24001 | Train Loss: 0.06 | Valid Loss: 0.05
Epoch 25001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 26001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 27001 | Train Loss: 0.06 | Valid Loss: 0.05
Epoch 28001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 29001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 30001 | Train Loss: 0.06 | Valid Loss: 0.05
Epoch 31001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 32001 | Train Loss: 0.14 | Valid Loss: 0.05
Epoch 33001 | Train Loss: 0.05 | Valid Loss: 0.05
Epoch 34001 | Train Loss: 0.04 | Valid Loss: 0.04
Epoch 35001 | Train Loss: 0.07 | Valid Loss: 0.04
Epoch 36001 | Train Loss: 0.12 | Valid Loss: 0.04
Epoch 37001 | Train Loss: 0.04 | Valid Loss: 0.04
Epoch 38001 | Train Loss: 0.06 | Valid Loss: 0.04
Epoch 39001 | Train Loss: 0.07 | Valid Loss: 0.04
Epoch 40001 | Train Loss: 0.04 | Valid Loss: 0.04
Epoch 41001 | Train Loss: 0.04 | Valid Loss: 0.04
Epoch 42001 | Train Loss: 0.04 | Valid Loss: 0.03
Epoch 43001 | Train Loss: 0.05 | Valid Loss: 0.03
Epoch 44001 | Train Loss: 0.05 | Valid Loss: 0.03
Epoch 45001 | Train Loss: 0.03 | Valid Loss: 0.02
Epoch 46001 | Train Loss: 0.03 | Valid Loss: 0.02
Epoch 47001 | Train Loss: 0.02 | Valid Loss: 0.02
Epoch 48001 | Train Loss: 0.03 | Valid Loss: 0.02
Epoch 49001 | Train Loss: 0.02 | Valid Loss: 0.02
Saved Model at /home/pdong/Astro UROP/models/RNN_VAE_Err.h5
losses saved!
