Using device: cuda
CUDA available: True
Loading light curves...
finished getting all files
Loaded 10 light curves
/home/pdong/.conda/envs/myenv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1729647429097/work/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
Epoch 0, Train Loss: 42471.7500, Validation Loss: 2478.0486
Epoch 100, Train Loss: 826.9813, Validation Loss: 300.7490
Epoch 200, Train Loss: 1266.9389, Validation Loss: 300.9921
Epoch 300, Train Loss: 533.2076, Validation Loss: 300.1951
Epoch 400, Train Loss: 962.5275, Validation Loss: 299.4302
Epoch 500, Train Loss: 963.0296, Validation Loss: 299.0229
Epoch 600, Train Loss: 837.9541, Validation Loss: 299.5970
Epoch 700, Train Loss: 751.5567, Validation Loss: 300.2555
Epoch 800, Train Loss: 890.5546, Validation Loss: 300.5790
Epoch 900, Train Loss: 1063.4190, Validation Loss: 299.4915
Epoch 1000, Train Loss: 858.2473, Validation Loss: 299.4080
Epoch 1100, Train Loss: 1075.8947, Validation Loss: 299.8694
Epoch 1200, Train Loss: 980.4226, Validation Loss: 300.5374
Epoch 1300, Train Loss: 956.3339, Validation Loss: 301.1028
Epoch 1400, Train Loss: 829.0243, Validation Loss: 299.8537
Epoch 1500, Train Loss: 1021.6948, Validation Loss: 300.3104
Epoch 1600, Train Loss: 966.9194, Validation Loss: 302.0995
Epoch 1700, Train Loss: 852.6617, Validation Loss: 301.6815
Epoch 1800, Train Loss: 1161.5064, Validation Loss: 301.5978
Epoch 1900, Train Loss: 876.5530, Validation Loss: 301.2980
Epoch 2000, Train Loss: 1056.7732, Validation Loss: 301.5797
Epoch 2100, Train Loss: 1038.6083, Validation Loss: 300.8676
Epoch 2200, Train Loss: 913.8463, Validation Loss: 299.2619
Epoch 2300, Train Loss: 826.1390, Validation Loss: 298.5312
Epoch 2400, Train Loss: 763.1914, Validation Loss: 299.2177
Epoch 2500, Train Loss: 1436.7586, Validation Loss: 298.3218
Epoch 2600, Train Loss: 906.6606, Validation Loss: 298.5333
Epoch 2700, Train Loss: 948.5472, Validation Loss: 298.4681
Epoch 2800, Train Loss: 746.7305, Validation Loss: 296.4499
Epoch 2900, Train Loss: 881.5812, Validation Loss: 294.9968
Epoch 3000, Train Loss: 820.5651, Validation Loss: 294.9074
Epoch 3100, Train Loss: 1012.9331, Validation Loss: 294.9023
Epoch 3200, Train Loss: 721.1927, Validation Loss: 296.3306
Epoch 3300, Train Loss: 861.0932, Validation Loss: 296.9757
Epoch 3400, Train Loss: 569.3878, Validation Loss: 297.1034
Epoch 3500, Train Loss: 921.6385, Validation Loss: 294.6965
Epoch 3600, Train Loss: 955.0554, Validation Loss: 292.4697
Epoch 3700, Train Loss: 1132.7193, Validation Loss: 290.7388
Epoch 3800, Train Loss: 807.8891, Validation Loss: 289.7471
Epoch 3900, Train Loss: 801.3569, Validation Loss: 289.8681
Epoch 4000, Train Loss: 862.5873, Validation Loss: 289.4706
Epoch 4100, Train Loss: 1068.6505, Validation Loss: 289.4563
Epoch 4200, Train Loss: 973.8763, Validation Loss: 288.2523
Epoch 4300, Train Loss: 1144.7708, Validation Loss: 289.8985
Epoch 4400, Train Loss: 997.9165, Validation Loss: 290.8876
Epoch 4500, Train Loss: 641.9033, Validation Loss: 288.6150
Epoch 4600, Train Loss: 855.1124, Validation Loss: 288.4692
Epoch 4700, Train Loss: 757.3660, Validation Loss: 288.8268
Epoch 4800, Train Loss: 646.5320, Validation Loss: 289.5122
Epoch 4900, Train Loss: 1233.3172, Validation Loss: 289.2382
Epoch 5000, Train Loss: 840.8098, Validation Loss: 288.0721
Epoch 5100, Train Loss: 897.6464, Validation Loss: 287.6695
Epoch 5200, Train Loss: 1105.1131, Validation Loss: 287.1460
Epoch 5300, Train Loss: 961.3491, Validation Loss: 287.3980
Epoch 5400, Train Loss: 907.6422, Validation Loss: 286.7420
Epoch 5500, Train Loss: 657.7146, Validation Loss: 287.1378
Epoch 5600, Train Loss: 839.9033, Validation Loss: 286.3641
Epoch 5700, Train Loss: 893.5006, Validation Loss: 286.9756
Epoch 5800, Train Loss: 704.7347, Validation Loss: 286.0526
Epoch 5900, Train Loss: 863.1940, Validation Loss: 285.4040
Epoch 6000, Train Loss: 1038.8220, Validation Loss: 287.0677
Epoch 6100, Train Loss: 1223.4604, Validation Loss: 286.4307
Epoch 6200, Train Loss: 711.5221, Validation Loss: 288.5880
Epoch 6300, Train Loss: 499.2861, Validation Loss: 288.8230
Epoch 6400, Train Loss: 840.3518, Validation Loss: 288.8987
Epoch 6500, Train Loss: 860.8802, Validation Loss: 288.9182
Epoch 6600, Train Loss: 1021.8379, Validation Loss: 288.2206
Epoch 6700, Train Loss: 630.6581, Validation Loss: 289.5589
Epoch 6800, Train Loss: 910.0808, Validation Loss: 288.7773
Epoch 6900, Train Loss: 815.2325, Validation Loss: 288.8139
Epoch 7000, Train Loss: 1068.7455, Validation Loss: 290.0789
Epoch 7100, Train Loss: 719.4217, Validation Loss: 288.1991
Epoch 7200, Train Loss: 801.0884, Validation Loss: 288.6678
Epoch 7300, Train Loss: 717.5351, Validation Loss: 288.2081
Epoch 7400, Train Loss: 966.3557, Validation Loss: 287.0309
Epoch 7500, Train Loss: 639.6389, Validation Loss: 286.1820
Epoch 7600, Train Loss: 734.5318, Validation Loss: 286.5730
Epoch 7700, Train Loss: 739.6936, Validation Loss: 283.9463
Epoch 7800, Train Loss: 600.8414, Validation Loss: 284.6102
Epoch 7900, Train Loss: 1017.9977, Validation Loss: 283.3254
Epoch 8000, Train Loss: 699.4245, Validation Loss: 284.1032
Epoch 8100, Train Loss: 863.9478, Validation Loss: 283.9198
Epoch 8200, Train Loss: 473.0691, Validation Loss: 283.4922
Epoch 8300, Train Loss: 640.0527, Validation Loss: 283.3590
Epoch 8400, Train Loss: 740.7835, Validation Loss: 283.6984
Epoch 8500, Train Loss: 876.3431, Validation Loss: 283.9533
Epoch 8600, Train Loss: 844.7988, Validation Loss: 283.0724
Epoch 8700, Train Loss: 755.1789, Validation Loss: 283.2389
Epoch 8800, Train Loss: 470.2658, Validation Loss: 281.3894
Epoch 8900, Train Loss: 654.7972, Validation Loss: 279.7057
Epoch 9000, Train Loss: 829.4871, Validation Loss: 278.8459
Epoch 9100, Train Loss: 597.2758, Validation Loss: 277.7404
Epoch 9200, Train Loss: 898.1484, Validation Loss: 277.0852
