Using device: cuda
CUDA available: True
Loading light curves...
finished getting all files
Loaded 10 light curves
/home/pdong/.conda/envs/myenv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1729647429097/work/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
Epoch 0, Train Loss: 19135.7344, Validation Loss: 4733.5674
Epoch 100, Train Loss: 1325.0386, Validation Loss: 261.3865
Epoch 200, Train Loss: 674.0301, Validation Loss: 84.2870
Epoch 300, Train Loss: 408.6211, Validation Loss: 45.1401
Epoch 400, Train Loss: 391.0174, Validation Loss: 35.8576
Epoch 500, Train Loss: 352.2478, Validation Loss: 35.7463
Epoch 600, Train Loss: 341.4601, Validation Loss: 35.7448
Epoch 700, Train Loss: 330.7474, Validation Loss: 35.7327
Epoch 800, Train Loss: 347.8157, Validation Loss: 35.7210
Epoch 900, Train Loss: 328.3854, Validation Loss: 35.6895
Epoch 1000, Train Loss: 352.7871, Validation Loss: 35.6904
Epoch 1100, Train Loss: 350.1363, Validation Loss: 35.6792
Epoch 1200, Train Loss: 362.5462, Validation Loss: 35.6561
Epoch 1300, Train Loss: 352.8507, Validation Loss: 35.6544
Epoch 1400, Train Loss: 319.0683, Validation Loss: 35.6536
Epoch 1500, Train Loss: 359.6909, Validation Loss: 35.6060
Epoch 1600, Train Loss: 342.4795, Validation Loss: 35.6005
Epoch 1700, Train Loss: 343.3078, Validation Loss: 35.5818
Epoch 1800, Train Loss: 345.3518, Validation Loss: 35.6111
Epoch 1900, Train Loss: 333.4069, Validation Loss: 35.5653
Epoch 2000, Train Loss: 339.7721, Validation Loss: 35.4750
Epoch 2100, Train Loss: 347.0679, Validation Loss: 35.4372
Epoch 2200, Train Loss: 321.4454, Validation Loss: 35.3707
Epoch 2300, Train Loss: 325.7453, Validation Loss: 35.2874
Epoch 2400, Train Loss: 338.6110, Validation Loss: 35.2140
Epoch 2500, Train Loss: 330.0722, Validation Loss: 35.1772
Epoch 2600, Train Loss: 323.0131, Validation Loss: 35.0889
Epoch 2700, Train Loss: 332.7596, Validation Loss: 35.1200
Epoch 2800, Train Loss: 329.8418, Validation Loss: 35.0614
Epoch 2900, Train Loss: 314.0299, Validation Loss: 35.0193
Epoch 3000, Train Loss: 346.7637, Validation Loss: 34.9157
Epoch 3100, Train Loss: 349.1528, Validation Loss: 34.8320
Epoch 3200, Train Loss: 320.3131, Validation Loss: 34.7289
Epoch 3300, Train Loss: 323.8049, Validation Loss: 34.6832
Epoch 3400, Train Loss: 344.7613, Validation Loss: 34.6893
Epoch 3500, Train Loss: 294.5340, Validation Loss: 34.6487
Epoch 3600, Train Loss: 320.8722, Validation Loss: 34.5557
Epoch 3700, Train Loss: 347.6691, Validation Loss: 34.5021
Epoch 3800, Train Loss: 337.1297, Validation Loss: 34.3783
Epoch 3900, Train Loss: 332.3595, Validation Loss: 34.3656
Epoch 4000, Train Loss: 328.1044, Validation Loss: 34.2937
Epoch 4100, Train Loss: 315.7050, Validation Loss: 34.2383
Epoch 4200, Train Loss: 329.0618, Validation Loss: 34.1475
Epoch 4300, Train Loss: 315.5826, Validation Loss: 34.0150
Epoch 4400, Train Loss: 296.7930, Validation Loss: 34.0049
Epoch 4500, Train Loss: 303.0359, Validation Loss: 33.9828
Epoch 4600, Train Loss: 337.1469, Validation Loss: 33.9230
Epoch 4700, Train Loss: 305.4788, Validation Loss: 33.8796
Epoch 4800, Train Loss: 356.5699, Validation Loss: 33.7412
Epoch 4900, Train Loss: 325.6238, Validation Loss: 33.7327
Epoch 5000, Train Loss: 307.1530, Validation Loss: 33.6684
Epoch 5100, Train Loss: 282.5650, Validation Loss: 33.6521
Epoch 5200, Train Loss: 296.4120, Validation Loss: 33.5676
Epoch 5300, Train Loss: 336.4982, Validation Loss: 33.5153
Epoch 5400, Train Loss: 307.0542, Validation Loss: 33.5001
Epoch 5500, Train Loss: 303.8893, Validation Loss: 33.3514
Epoch 5600, Train Loss: 323.3401, Validation Loss: 33.3739
Epoch 5700, Train Loss: 303.2509, Validation Loss: 33.2616
Epoch 5800, Train Loss: 322.9825, Validation Loss: 33.1219
Epoch 5900, Train Loss: 312.2464, Validation Loss: 33.0447
Epoch 6000, Train Loss: 311.5626, Validation Loss: 32.9574
Epoch 6100, Train Loss: 304.7864, Validation Loss: 33.0135
Epoch 6200, Train Loss: 324.9789, Validation Loss: 32.9120
Epoch 6300, Train Loss: 305.2285, Validation Loss: 32.8946
Epoch 6400, Train Loss: 297.0079, Validation Loss: 32.8555
Epoch 6500, Train Loss: 292.0253, Validation Loss: 32.7565
Epoch 6600, Train Loss: 289.2813, Validation Loss: 32.7727
Epoch 6700, Train Loss: 334.5984, Validation Loss: 32.6535
Epoch 6800, Train Loss: 330.6586, Validation Loss: 32.6214
Epoch 6900, Train Loss: 264.9597, Validation Loss: 32.6703
Epoch 7000, Train Loss: 276.0385, Validation Loss: 32.6034
Epoch 7100, Train Loss: 309.8990, Validation Loss: 32.4967
Epoch 7200, Train Loss: 284.6034, Validation Loss: 32.4497
Epoch 7300, Train Loss: 265.5483, Validation Loss: 32.4202
Epoch 7400, Train Loss: 308.7808, Validation Loss: 32.4324
Epoch 7500, Train Loss: 283.7748, Validation Loss: 32.4045
Epoch 7600, Train Loss: 265.7756, Validation Loss: 32.2965
Epoch 7700, Train Loss: 302.3928, Validation Loss: 32.2147
Epoch 7800, Train Loss: 292.8882, Validation Loss: 32.1695
Epoch 7900, Train Loss: 279.0255, Validation Loss: 32.1979
Epoch 8000, Train Loss: 297.3315, Validation Loss: 32.1444
Epoch 8100, Train Loss: 299.8214, Validation Loss: 32.0982
Epoch 8200, Train Loss: 262.6576, Validation Loss: 31.9605
Epoch 8300, Train Loss: 285.7191, Validation Loss: 31.9830
Epoch 8400, Train Loss: 286.1176, Validation Loss: 31.9504
Epoch 8500, Train Loss: 273.0911, Validation Loss: 31.8596
Epoch 8600, Train Loss: 273.3446, Validation Loss: 31.8598
Epoch 8700, Train Loss: 293.9565, Validation Loss: 31.9245
Epoch 8800, Train Loss: 280.8375, Validation Loss: 31.9935
Epoch 8900, Train Loss: 273.3781, Validation Loss: 31.9483
Epoch 9000, Train Loss: 265.6119, Validation Loss: 31.8634
Epoch 9100, Train Loss: 269.5256, Validation Loss: 31.8254
Epoch 9200, Train Loss: 268.4418, Validation Loss: 31.8092
Epoch 9300, Train Loss: 257.6952, Validation Loss: 31.7401
Epoch 9400, Train Loss: 262.7245, Validation Loss: 31.6639
Epoch 9500, Train Loss: 253.9233, Validation Loss: 31.6208
Epoch 9600, Train Loss: 291.2867, Validation Loss: 31.7736
Epoch 9700, Train Loss: 275.9045, Validation Loss: 31.6736
Epoch 9800, Train Loss: 266.7180, Validation Loss: 31.6084
Epoch 9900, Train Loss: 258.7918, Validation Loss: 31.4295
Epoch 10000, Train Loss: 280.7754, Validation Loss: 31.3981
Epoch 10100, Train Loss: 270.9884, Validation Loss: 31.3384
Epoch 10200, Train Loss: 290.9535, Validation Loss: 31.2381
Epoch 10300, Train Loss: 265.1498, Validation Loss: 31.1748
Epoch 10400, Train Loss: 262.9043, Validation Loss: 31.2399
Epoch 10500, Train Loss: 263.6783, Validation Loss: 31.2064
Epoch 10600, Train Loss: 260.8044, Validation Loss: 31.2041
Epoch 10700, Train Loss: 265.8550, Validation Loss: 31.1187
Epoch 10800, Train Loss: 256.7209, Validation Loss: 31.0281
Epoch 10900, Train Loss: 272.6376, Validation Loss: 31.0301
Epoch 11000, Train Loss: 266.3123, Validation Loss: 30.9554
Epoch 11100, Train Loss: 247.7490, Validation Loss: 30.8645
Epoch 11200, Train Loss: 256.9160, Validation Loss: 30.8105
Epoch 11300, Train Loss: 256.1879, Validation Loss: 30.8339
Epoch 11400, Train Loss: 279.7380, Validation Loss: 30.7510
Epoch 11500, Train Loss: 264.3852, Validation Loss: 30.7243
Epoch 11600, Train Loss: 250.0997, Validation Loss: 30.7261
Epoch 11700, Train Loss: 251.7978, Validation Loss: 30.6325
Epoch 11800, Train Loss: 273.5677, Validation Loss: 30.6524
Epoch 11900, Train Loss: 262.5408, Validation Loss: 30.6968
Epoch 12000, Train Loss: 249.7663, Validation Loss: 30.6895
Epoch 12100, Train Loss: 260.8975, Validation Loss: 30.6586
Epoch 12200, Train Loss: 247.3448, Validation Loss: 30.5732
Epoch 12300, Train Loss: 255.3173, Validation Loss: 30.5506
Epoch 12400, Train Loss: 239.7144, Validation Loss: 30.5757
Epoch 12500, Train Loss: 251.7766, Validation Loss: 30.5827
Epoch 12600, Train Loss: 237.0872, Validation Loss: 30.5454
Epoch 12700, Train Loss: 245.8172, Validation Loss: 30.5594
Epoch 12800, Train Loss: 243.1216, Validation Loss: 30.5355
Epoch 12900, Train Loss: 260.9797, Validation Loss: 30.4968
Epoch 13000, Train Loss: 249.5821, Validation Loss: 30.4461
