Using device: cuda
CUDA available: True
Loading light curves...
finished getting all files
Loaded 8190 light curves
/home/pdong/.conda/envs/myenv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1729647429097/work/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
Epoch 0, Train Loss: 2513.2441, Validation Loss: 3994.4728
Epoch 100, Train Loss: 34.9268, Validation Loss: 1315.1244
Epoch 200, Train Loss: 36.3169, Validation Loss: 1293.7751
Epoch 300, Train Loss: 32.2066, Validation Loss: 1247.5539
Epoch 400, Train Loss: 33.7223, Validation Loss: 1218.2703
Epoch 500, Train Loss: 30.2690, Validation Loss: 1198.0749
Epoch 600, Train Loss: 29.7280, Validation Loss: 1177.9286
Epoch 700, Train Loss: 28.2987, Validation Loss: 1131.4516
Epoch 800, Train Loss: 25.7862, Validation Loss: 1099.5379
Epoch 900, Train Loss: 29.7557, Validation Loss: 1046.6398
Epoch 1000, Train Loss: 23.1996, Validation Loss: 1033.5341
Epoch 1100, Train Loss: 25.5797, Validation Loss: 991.0844
Epoch 1200, Train Loss: 25.1039, Validation Loss: 950.3328
Epoch 1300, Train Loss: 23.5969, Validation Loss: 921.8648
Epoch 1400, Train Loss: 24.3086, Validation Loss: 869.6375
Epoch 1500, Train Loss: 23.5165, Validation Loss: 841.2708
Epoch 1600, Train Loss: 19.4359, Validation Loss: 803.4919
Epoch 1700, Train Loss: 21.5158, Validation Loss: 788.9429
Epoch 1800, Train Loss: 18.1664, Validation Loss: 752.4688
Epoch 1900, Train Loss: 17.3573, Validation Loss: 711.2513
Epoch 2000, Train Loss: 18.6856, Validation Loss: 680.7369
Epoch 2100, Train Loss: 18.4397, Validation Loss: 640.7755
Epoch 2200, Train Loss: 20.3984, Validation Loss: 621.0435
Epoch 2300, Train Loss: 17.3582, Validation Loss: 598.2242
Epoch 2400, Train Loss: 15.8670, Validation Loss: 573.2898
Epoch 2500, Train Loss: 16.0669, Validation Loss: 556.8536
Epoch 2600, Train Loss: 14.7783, Validation Loss: 529.2057
Epoch 2700, Train Loss: 14.5291, Validation Loss: 504.1566
Epoch 2800, Train Loss: 16.9552, Validation Loss: 488.8158
Epoch 2900, Train Loss: 17.2369, Validation Loss: 473.8864
Epoch 3000, Train Loss: 12.1042, Validation Loss: 457.9610
Epoch 3100, Train Loss: 14.6311, Validation Loss: 428.2791
Epoch 3200, Train Loss: 13.0454, Validation Loss: 420.5680
Epoch 3300, Train Loss: 14.1533, Validation Loss: 393.9080
Epoch 3400, Train Loss: 18.9302, Validation Loss: 385.1907
Epoch 3500, Train Loss: 15.2158, Validation Loss: 369.1805
