2025-02-23 12:31:08,494 INFO    MainThread:31866 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_setup.py:_flush():68] Configure stats pid to 31866
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_setup.py:_flush():68] Loading settings from /home/pdong/.config/wandb/settings
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_setup.py:_flush():68] Loading settings from /orcd/home/002/pdong/Astro UROP/wandb/settings
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /orcd/home/002/pdong/Astro UROP/wandb/run-20250223_123108-rbo64b5d/logs/debug.log
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /orcd/home/002/pdong/Astro UROP/wandb/run-20250223_123108-rbo64b5d/logs/debug-internal.log
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_init.py:init():756] calling init triggers
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'architecture': 'TransformerVAE', 'dataset': '3 LCs', 'epochs': 20000, 'latent_size': 40, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 6, 'hidden_size': 512, 'num_decoder_blocks': 4, 'dropout': 0.1, '_wandb': {}}
2025-02-23 12:31:08,495 INFO    MainThread:31866 [wandb_init.py:init():789] starting backend
2025-02-23 12:31:08,707 INFO    MainThread:31866 [wandb_init.py:init():793] sending inform_init request
2025-02-23 12:31:08,712 INFO    MainThread:31866 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-23 12:31:08,712 INFO    MainThread:31866 [wandb_init.py:init():808] backend started and connected
2025-02-23 12:31:08,713 INFO    MainThread:31866 [wandb_init.py:init():901] updated telemetry
2025-02-23 12:31:08,713 INFO    MainThread:31866 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-23 12:31:08,990 INFO    MainThread:31866 [wandb_init.py:init():994] starting run threads in backend
2025-02-23 12:31:09,145 INFO    MainThread:31866 [wandb_run.py:_console_start():2385] atexit reg
2025-02-23 12:31:09,146 INFO    MainThread:31866 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-23 12:31:09,146 INFO    MainThread:31866 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-23 12:31:09,146 INFO    MainThread:31866 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-23 12:31:09,151 INFO    MainThread:31866 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-23 23:21:41,518 INFO    MainThread:31866 [wandb_run.py:_finish():2110] finishing run peterdong1951-massachusetts-institute-of-technology/transformer_vae_large/rbo64b5d
2025-02-23 23:21:41,519 INFO    MainThread:31866 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-02-23 23:21:41,519 INFO    MainThread:31866 [wandb_run.py:_restore():2332] restore
2025-02-23 23:21:41,519 INFO    MainThread:31866 [wandb_run.py:_restore():2338] restore done
2025-02-23 23:21:43,128 INFO    MainThread:31866 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-02-23 23:21:43,128 INFO    MainThread:31866 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
2025-02-23 23:21:43,128 INFO    MainThread:31866 [wandb_run.py:_footer_sync_info():3924] logging synced files
